{'01044099999': -10.0, '02293099999': -27.6}
         330971 function calls (326426 primitive calls) in 3.080 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      201    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       86    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 typing.py:1869(__init__)
       37    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
      190    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       19    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
       25    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        2    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
       26    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
